,Sentiment,SentimentText,SentimentLema,SentimentStem
2683,1,<MENTION> All is well on this side of the pond Enjoy your sociable beverages....have one for me!!!,pond Enjoy sociable beverage ....,pond enjoy sociable beverage ....
2684,0,<MENTION> I want to go to denny's with you right now.,want denny right,want denny right
2685,1,<MENTION> ya ok,you okay,you okay
2686,1,<HASHTAG> <MENTION> SEO Lady with more ideas,SEO Lady idea,seo lady idea
2687,0,<HASHTAG> : in an internetless state. The internet blackness inspired this for you... <URL>,internetless state internet blackness inspire ...,internetless state internet blackness inspire ...
2688,1,<MENTION> Hey Names Charlene. I see yoiu live in NY and like ashley. i love getting to know new people. comment back,Hey Names Charlene yoiu live NY like ashley love get know new people comment,hey names charlene yoiu live ny like ashley love get know new people com
2689,1,"<MENTION> Hey Darling, sounds like you had a great time at the Fair! Hope you're sleeping well!",Hey Darling sound like great time Fair Hope sleep,hey darling sound like great time fair hope sleep
2690,0,<MENTION> Holy shit it is true!!! not Bill man... i though i was a joke,Holy shit true Bill man ... joke,holy shit true bill man ... jok
2691,0,<MENTION> there is nothing good on tv.,good tv,good tv
2692,1,<HASHTAG> <MENTION><MENTION><MENTION><MENTION><MENTION><MENTION> coz they are all COOOOOL,MENTION><MENTION><MENTION><MENTION><MENTION><MENTION coz COOOOOL,mention><mention><mention><mention><mention><mention coz coooool
2693,1,<HASHTAG> you just made my<HASHTAG> jump!lmao how are you?,jump!lmao,jump!lmao
2694,1,<MENTION> i found you,find,find
2695,0,<MENTION> Light Sabre looked a bit plasticy though,Light Sabre look bite plasticy,light sabre look bite plastici
2696,1,<MENTION> thanks Chris that means a lot,thank Chris mean lot,thank chris mean lot
2697,1,"<MENTION> ahhhhhhh!! You came along and told me you'd be the one! I'm jumping up and down, spinning round n round....BECAUSE OF YOU",ahhhhhhh come tell jump spin round n round ....,ahhhhhhh come tell jump spin round n round ....
2698,0,<MENTION> Its cool ... ill just go lay in bed and cry away me tears .......,cool ... ill lie bed cry away tear .......,cool ... ill lie bed cry away tear .......
2699,1,<MENTION><MENTION> yes! Emily too! Basically I think we were all doomed for Canada at an early age y/y?,MENTION><MENTION yes Emily Basically think doom Canada early age y y,mention><mention yes emily basically think doom canada early age y i
2700,0,"...everything's fucked up and messed up, quiet confusing!",... fuck mess quiet confuse,... fuck mess quiet confus
2701,1,<MENTION> Spore Yeah I'm really super a lot trying to get the invites done... I should have just gotten the kind you print!,Spore Yeah super lot try invite ... get kind print,spore yeah super lot try invite ... get kind print
2702,1,<MENTION> what are the insiders?,insider,insid
2703,0,"<MENTION>, I can't follow you through my 'twidroid'. You sing beautifullllllly! Goodtimes.",follow twidroid sing beautifullllllly Goodtimes,follow twidroid sing beautifullllllly goodtim
2704,1,"<MENTION> nice one, cheers",nice cheer,nice ch
2705,0,<MENTION> there calling for rain tomorrow,call rain tomorrow,call rain tomorrow
2706,1,<MENTION> let me know what u here as I'm interested as well,let know u interest,let know u interest
2707,0,<MENTION> don't own flats sigh. this is what comes from being a tom boy - i own a pair of 1inch heals and trainers/boots,flat sigh come tom boy pair 1inch heal trainer boot,flat sigh come tom boy pair 1inch heal trainer boot
2708,0,<MENTION> lol cloudy and 87 here on thurs but 99 on friday,lol cloudy 87 thurs 99 friday,lol cloudy 87 thurs 99 friday
2709,1,<MENTION> I usually talk on here so I'm trying to figure out the boards there now. We're both from SE AK orig. so that's close enough,usually talk try figure board SE AK orig close,usually talk try figure board se ak orig clos
2710,1,"<MENTION> Awesome! Love that movie! 'I feel the need,... the need for speed!'",Awesome Love movie feel need ... need speed,awesome love movie feel need ... need spe
2711,0,<MENTION> what/who aint classy? me? it was just a comment! a joke!,be not classy comment joke,be not classy comment jok
2712,0,<MENTION> lol lol lol! Nerd is right. We had a cop follow us home I think we both peed a little...,lol lol lol Nerd right cop follow home think pee little ...,lol lol lol nerd right cop follow home think pee little ...
2713,1,<MENTION> Thanks girl!,Thanks girl,thanks girl
2714,0,"<MENTION> In fairness it's just vanished. That's unusual in recent times. And a lot of people, including 6 children and a baby",fairness vanish unusual recent time lot people include 6 child baby,fairness vanish unusual recent time lot people include 6 child babi
2715,0,<MENTION> Probably cutting costs in advance of minimum wage hike in July.,Probably cut cost advance minimum wage hike July,probably cut cost advance minimum wage hike juli
2716,0,<MENTION> But... really?! I can't bring myself to even contemplate eating it!,... bring contemplate eat,... bring contemplate eat
2717,0,<MENTION> We haven't got a storm either Char Bit of thunder before but that has gone now,get storm Char Bit thunder go,get storm char bit thunder go
2718,1,<MENTION> Glad to hear you're having a good morning so far.,Glad hear good morning far,glad hear good morning far
2719,1,"<MENTION> you okay?, also you pic is very pretty x.",okay pic pretty x.,okay pic pretty x.
2720,1,<MENTION> I know; I was just playing.,know play,know play
2721,0,"<MENTION> Woof, woof....woof arf woof ork woof Mucinex. -that was 'bark' for I'm sorry baby I hope you feel better after the Mucinex",Woof woof .... woof arf woof ork woof Mucinex -that bark sorry baby hope feel well Mucinex,woof woof .... woof arf woof ork woof mucinex -that bark sorry baby hope feel well mucinex
2722,1,<MENTION> yea being her personal assistant ! LOL so u can be a dolger to my twin!<MENTION> tell him carry ur Gucci Bag,yea personal assistant LOL u dolger twin!<MENTION tell carry ur Gucci Bag,yea personal assistant lol u dolger twin!<mention tell carry ur gucci bag
2723,0,<MENTION> no i do NOT have a hangover! haha & no he didnt cos it was laaaate & in bed still you?,hangover haha not co laaaate bed,hangover haha not co laaaate b
2724,1,"<MENTION> From the look of the photo, a lot of buses",look photo lot bus,look photo lot bus
2725,0,... battery is going lower and lower .... not much juice left ... 22 min remaining,... battery go low low .... juice leave ... 22 min remain,... battery go low low .... juice leave ... 22 min remain
2726,1,"<MENTION> LoL, always a tough decision on beautiful days! having a similar issue here",LoL tough decision beautiful day similar issue,lol tough decision beautiful day similar issu
2727,1,<MENTION> andy i love you,andy love,andy lov
2728,0,"<MENTION><MENTION> it's not fair, I should be going to Silverstone. It's only up the road. Why did I not get tickets",MENTION><MENTION fair go Silverstone road ticket,mention><mention fair go silverstone road ticket
2729,1,<MENTION>,,
2730,0,"<MENTION> I adopted my pup who's a lab/pitbull mix. He was abused as a baby , it's so sad makes me sick what ppl to do animals",adopt pup lab pitbull mix abuse baby sad make sick ppl animal,adopt pup lab pitbull mix abuse baby sad make sick ppl anim
2731,0,"<MENTION> i miss you already having lunch w. jenn and sara, then heading home to my sis!",miss lunch w. jenn sara head home sis,miss lunch w. jenn sara head home si
2732,1,<MENTION> its your family right,family right,family right
2733,0,<MENTION> Yes its taken with mac photo booth it has a choice for this Warhol type photo!But no one likes it,Yes take mac photo booth choice Warhol type photo!But like,yes take mac photo booth choice warhol type photo!but lik
2734,1,<MENTION> the movie with Gwyneth Paltrow is much funnyer than the book<HASHTAG> <HASHTAG> <HASHTAG>,movie Gwyneth Paltrow funnyer book,movie gwyneth paltrow funnyer book
2735,0,"<MENTION> where have you been,you better come with me to get my tattoo or or i'll be sad",well come tattoo sad,well come tattoo sad
2736,0,@ dhgymn I can't reply to your message because you don't follow me,dhgymn reply message follow,dhgymn reply message follow
2737,1,: home from ef.. i like the new atmosphere with my new class,home ef .. like new atmosphere new class,home ef .. like new atmosphere new class
2738,1,"<MENTION> i know right,i hope it is,i hope they find out.",know right hope hope find,know right hope hope find
2739,0,<MENTION> I miss you my crazy sister!! I hope your having fun in Iowa!!,miss crazy sister hope fun Iowa,miss crazy sister hope fun iowa
2740,1,"<MENTION> Thanks, your description is enough Rats! If I had suspected, I would have downloaded it to make sure it was worth recommending",Thanks description Rats suspect download sure worth recommend,thanks description rats suspect download sure worth recommend
2741,1,<MENTION> me too girl...me too!,girl ...,girl ...
2742,1,<MENTION> Thank you. Will try this one as well,Thank try,thank tri
2743,1,<MENTION> already love you,love,love
2744,1,<MENTION> Wow the doughnuts look great! Wish I lived close enough to help you taste-test them!,Wow doughnut look great Wish live close help taste test,wow doughnut look great wish live close help taste test
2745,1,"<MENTION> LOVE the Copics, but now I must. have. them. ALL!",LOVE Copics,love cop
2746,1,<MENTION> then go get some! but nah you'll be iight goodnight hun! Ttyt sweet dreamsz! XoXo,nah iight goodnight hun Ttyt sweet dreamsz XoXo,nah iight goodnight hun ttyt sweet dreamsz xoxo
2747,1,<MENTION> I'll be a fan of yours if you become a fan of mine <URL>,fan fan,fan fan
2748,1,<MENTION> 'Wanna come up and see my Crystal'<HASHTAG> .,Wanna come Crystal'<HASHTAG,wanna come crystal'<hashtag
2749,1,"<MENTION> Nearly done. Y'know, if I weren't so soapy I'd definitely be sweaty. Hard work this, but so worth it",Nearly Y'know soapy definitely sweaty Hard work worth,nearly y'know soapy definitely sweaty hard work worth
2750,1,<MENTION> Who says that anyway.,say,say
2751,1,<MENTION> Your welcome - I'm just simply spreading the truth. How r ya? Sorry for the delay.,welcome simply spread truth r you Sorry delay,welcome simply spread truth r you sorry delay
2752,1,"<MENTION> no, I missed that! Is there a website? I'll make sure I check it next time",miss website sure check time,miss website sure check tim
2753,0,"<MENTION> LMAO....there is nothing wrong with a little partying, hell i need 2, but the south dont party as hard as the north...ugh",LMAO .... wrong little party hell need 2 south not party hard north ... ugh,lmao .... wrong little party hell need 2 south not party hard north ... ugh
2754,0,"<MENTION> good call, def could be, I'm hella jealous I guess I did get a car...",good def hella jealous guess car ...,good def hella jealous guess car ...
2755,1,<MENTION> deepest apologies my lord but twitpics over rule all,deep apology lord twitpics rule,deep apology lord twitpics rul
2756,1,<MENTION> Good evening. Hope you have a fun weekend ahead.,Good even Hope fun weekend ahead,good even hope fun weekend ahead
2757,1,<MENTION> thanks!!,thank,thank
2758,0,"<MENTION><MENTION> I was wrong,car prices R inflated like house$. Not even<HASHTAG> for clunkers brings them in range 4average Joe/Jane",MENTION><MENTION wrong car price R inflate like house$. clunkers bring range 4average Joe Jane,mention><mention wrong car price r inflate like house$. clunkers bring range 4average joe jan
2759,1,<MENTION> Hold on tight!!,Hold tight,hold tight
2760,0,<MENTION> No. I'm so ashamed! I'll do them tomorrow.,ashamed tomorrow,ashamed tomorrow
2761,0,<HASHTAG> I wouldn't be sick in bed,sick bed,sick b
2762,0,<MENTION> awww what happened,awww happen,awww happen
2763,1,"<MENTION> why hello Bob. manchester is good, but looking forward to the next adventure. not sure where. how's you?",hello Bob manchester good look forward adventure sure,hello bob manchester good look forward adventure sur
2764,1,<MENTION> awwh its soo cute! haha i cant wait. wuu2?,awwh soo cute haha not wait wuu2,awwh soo cute haha not wait wuu2
2765,1,<MENTION> thanks!!!!,thank,thank
2766,1,<MENTION> yeah moving out,yes move,yes mov
2767,0,"<MENTION> that's what I'll end up doing, no lie. ughghghghiehihwehgweiohrow3i74892qf7897389472bcv85v7837v723897cv288",end lie ughghghghiehihwehgweiohrow3i74892qf7897389472bcv85v7837v723897cv288,end lie ughghghghiehihwehgweiohrow3i74892qf7897389472bcv85v7837v723897cv288
2768,1,<MENTION> now add some real Dutch Grass and you got yourself a garden!,add real Dutch Grass get garden,add real dutch grass get garden
2769,0,<HASHTAG> is suffering epic lag,suffer epic lag,suffer epic lag
2770,1,<HASHTAG> sir alan is willy wonka he he,sir alan willy wonka,sir alan willy wonka
2771,0,<MENTION> oh yum! mine is New Zealand Mount Cass Sauvignon Blanc....wish I had some sunshine to go with it though,oh yum New Zealand Mount Cass Sauvignon Blanc .... wish sunshine,oh yum new zealand mount cass sauvignon blanc .... wish sunshin
2772,0,<MENTION> gee i guess u cant see me either,gee guess u not,gee guess u not
2773,1,- all the snow is gone... that didn't take long...,snow go ... long ...,snow go ... long ...
2774,1,"<MENTION> I don't blame U either... 'tis certainly hot out there LOL. Yes, I live in Exmouth & work in Exeter @<HASHTAG> University",blame U ... this certainly hot LOL Yes live Exmouth work Exeter @<HASHTAG University,blame u ... this certainly hot lol yes live exmouth work exeter @<hashtag univers
2775,0,<MENTION> AW that is so sad. I'm so sorry to hear that. I hope they find him.,AW sad sorry hear hope find,aw sad sorry hear hope find
2776,1,"<MENTION> Good points made by article - I am home, in case anyone is wondering",Good point article home case wonder,good point article home case wond
2777,0,<MENTION> wats wrong don't let noone effect ur day mama smh,wat wrong let effect ur day mama smh,wat wrong let effect ur day mama smh
2778,1,"'Welcome home asshole' $1,000,000 to the person who understands that, good luck yall","Welcome home asshole 1,000,000 person understand good luck -PRON-","welcome home asshole 1,000,000 person understand good luck -pron-"
2779,1,"<MENTION> - oh well, IQL is rocking!! so i need to keep myself moving around",oh IQL rock need move,oh iql rock need mov
2780,0,"<MENTION> lol, nada mucho, cleaning about to txt the hubby in a minute to see if he got my pixs",lol nada mucho clean txt hubby minute get pixs,lol nada mucho clean txt hubby minute get pix
2781,0,<MENTION> no i haven't I was hoping we could take a quick trip to Wolly World...but I guess I'm gonna have to go by myself,hope quick trip Wolly World ... guess go to,hope quick trip wolly world ... guess go to
2782,1,<MENTION> I read it now. Glad that it worked,read Glad work,read glad work
2783,0,<MENTION> pls come back,pl come,pl come
2784,1,<MENTION> Happy Birthday!! Hope you have a great day! For one it's Saturday....that's a good start!!,Happy Birthday Hope great day Saturday .... good start,happy birthday hope great day saturday .... good start
2785,1,"<MENTION> ha, that looks really cool! You know, in my head I still call you 'Catawungus'",ha look cool know head Catawungus,ha look cool know head catawungus
2786,1,<MENTION><MENTION><MENTION> Hey everyone! I just mixed the first single....! 'Why R U' ...I'm sooo excited!,MENTION><MENTION><MENTION Hey mix single .... R U ... sooo excite,mention><mention><mention hey mix single .... r u ... sooo excit
2787,0,<MENTION> damn bae i wish i could make you feel better,damn bae wish feel well,damn bae wish feel wel
2788,0,<MENTION> Give her a big hug for me. I so so miss my Beagle. ....,big hug miss Beagle ....,big hug miss beagle ....
2789,1,<MENTION> :woop: thx bby,woop thx bby,woop thx bbi
2790,0,"<MENTION> I'm home, but sick in bed",home sick bed,home sick b
2791,1,<MENTION> good to hear. we are pretty gals,good hear pretty gal,good hear pretty g
2792,0,<MENTION> can't do it Gotta work!,Got to work,got to work
2793,1,<MENTION> I'll IM you tomorrow.. I still want the Drake CD,IM tomorrow .. want Drake CD,im tomorrow .. want drake cd
2794,1,<MENTION> I think the Supernatural Asylum Convention tweets killed it earlier! That's my theory anyway.,think Supernatural Asylum Convention tweet kill early theory,think supernatural asylum convention tweet kill early theori
2795,1,'Common sense is not so common.' Voltaire ... nice one!,Common sense common Voltaire ... nice,common sense common voltaire ... nic
2796,1,<MENTION> oh good!! now you can relax,oh good relax,oh good relax
2797,1,<MENTION> Classic! Next Beat Street! Then Breakin!,Classic Beat Street Breakin,classic beat street breakin
2798,0,<MENTION> argh stupid mum.,argh stupid mum,argh stupid mum
2799,0,<MENTION> aww,aww,aww
2800,0,... procrastinating in the net,... procrastinate net,... procrastinate net
2801,1,<MENTION> always! Lol tryna do it everyday,Lol tryna everyday,lol tryna everyday
2802,0,<MENTION> I dont like being a twitter virgin ....am i doing it right?? LOL,not like twitter virgin .... right LOL,not like twitter virgin .... right lol
2803,0,": What a let down! No MRI today, neurosurgeon didn't order it--which means we have to come back to OkC soon & we no nothing new",let MRI today neurosurgeon order -- mean come OkC soon new,let mri today neurosurgeon order -- mean come okc soon new
2804,1,<MENTION> wait there's more.. will share later on..,wait .. share late ..,wait .. share late ..
2805,0,<MENTION> Yeah at least you weren't stuck in a cellular dead zone for two hours,Yeah stick cellular dead zone hour,yeah stick cellular dead zone hour
2806,0,<MENTION> damn I'm missing karl doing the hood hop wish I was there instead of washing clothes at 12:18am! Smh,damn miss karl hood hop wish instead wash clothe 12:18am Smh,damn miss karl hood hop wish instead wash clothe 12:18am smh
2807,1,<MENTION> it was a compliment,compliment,compliment
2808,1,<MENTION> 'BeyondZ.' It would be a great reality show that is beyond the alphabet. beyond letter 'Z'.,BeyondZ. great reality alphabet letter Z,beyondz. great reality alphabet letter z
2809,1,<MENTION> i have no idea except that i love that song,idea love song,idea love song
2810,1,"<MENTION> You can send an email to Printeet.com, they can handle it better",send email Printeet.com handle well,send email printeet.com handle wel
2811,1,<MENTION> thanks for making my day,thank make day,thank make day
2812,1,"<MENTION> ummm...I was accosted by a weirdo on my way out, he saw jupiter once and that's love",ummm ... accost weirdo way see jupiter love,ummm ... accost weirdo way see jupiter lov
2813,0,stressed now. I'm going away no worries. Taking a couple days off,stress go away worry Taking couple day,stress go away worry taking couple day
2814,0,@ JFK International Airport <URL>,JFK International Airport,jfk international airport
2815,0,<MENTION> morning! I'm bringing my aviator glasses along 4 that jacket-Its HOT!!! The BMX is staying here tho LOL,morning bring aviator glass 4 jacket HOT BMX stay tho LOL,morning bring aviator glass 4 jacket hot bmx stay tho lol
2816,0,<MENTION> I don't have a job yet,job,job
2817,1,<MENTION> you and all those drinks! do you make them yourself or do you buy them?,drink buy,drink buy
2818,1,"<MENTION> we haven't tweeted in a long time, but you left an impression on me, and I never forget kind people.",tweet long time leave impression forget kind people,tweet long time leave impression forget kind peopl
2819,0,<MENTION> i went there once. i thought it was a ripoff,go think ripoff,go think ripoff
2820,1,"<MENTION> oh ok. awesome, thanks.",oh okay awesome thank,oh okay awesome thank
2821,0,<MENTION> i tried to reply to your DM but it wont let me.,try reply DM will not let,try reply dm will not let
2822,1,<MENTION> Welcome. They're so much fun.<HASHTAG>,Welcome fun.<HASHTAG,welcome fun.<hashtag
2823,0,<MENTION> uuuugh i hate everything,uuuugh hate,uuuugh hat
2824,1,<MENTION> you werent very specific about what kind of marks you do want my dear,not specific kind mark want dear,not specific kind mark want dear
2825,0,<MENTION> haha i like how he sings,haha like sing,haha like s
2826,0,<MENTION> i wish you were here too!!! ilene and mike went to texas and left me by myself haha,wish ilene mike go texas leave haha,wish ilene mike go texas leave haha
2827,0,<MENTION> I didnt realize you were on twitter! fun! Sorry I missed you,not realize twitter fun Sorry miss,not realize twitter fun sorry miss
2828,0,<MENTION> me too Now I will definately cry @ the m& g!! I'm not ready for it either - it's too soon!!,definately cry be g ready soon,definately cry be g ready soon
2829,1,"<MENTION> Because his entire campaign was spent trying to draw focus away from that fact. Now he is embracing it, just pick one I say.",entire campaign spend try draw focus away fact embrace pick,entire campaign spend try draw focus away fact embrace pick
2830,0,<MENTION> we're waiting for an appointment at the allergy clinic but early indications are dairy and all fruit except bananas,wait appointment allergy clinic early indication dairy fruit banana,wait appointment allergy clinic early indication dairy fruit banana
2831,0,why do these stories gotta be sooo long and i have to learn like 20 .. SOOO EXTRAA :@ GRR !!!,story get to sooo long learn like 20 .. SOOO EXTRAA GRR,story get to sooo long learn like 20 .. sooo extraa grr
2832,1,<MENTION> thanks dude,thank dude,thank dud
2833,1,<MENTION> I went with Qdoba veggie burrito. Just so good...,go Qdoba veggie burrito good ...,go qdoba veggie burrito good ...
2834,1,<HASHTAG> looks geekier this time around.,look geekier time,look geekier tim
2835,0,....RIP David Carradine. I can't believe it took me until now to find out. I'll miss you!!!! xxx,.... RIP David Carradine believe take find miss xxx,.... rip david carradine believe take find miss xxx
2836,1,"'Each day of our lives we make deposits in the memory banks of our children' Today, we should remember that! Lets make this day count!",day live deposit memory bank child Today remember Lets day count,day live deposit memory bank child today remember lets day count
2837,1,<MENTION>,,
2838,0,<MENTION> unless my curse randomly disappears which it probably won't,curse randomly disappear probably will,curse randomly disappear probably wil
2839,0,<MENTION> Just wanted to say you have a great site! Lots of info - I can't find the answer to mine though.,want great site Lots info find answer,want great site lots info find answ
2840,1,<MENTION> I think apologizing to kids will be my blog post today,think apologize kid blog post today,think apologize kid blog post today
2841,0,<MENTION> Are you fratenisingwith the enemy Alan,fratenisingwith enemy Alan,fratenisingwith enemy alan
2842,1,<MENTION> Good luck with that lol.Today is my day off,Good luck lol Today day,good luck lol today day
2843,1,"<HASHTAG> If you're heading to Buenos Aries, check out my friends<MENTION> <URL> - great guys, great info!",head Buenos Aries check friend great guy great info,head buenos aries check friend great guy great info
2844,0,<MENTION> Hmm... County Cork ballad still is giving the message: Error loading file But Metal Man I can listen to. Don't know whats wrong,Hmm ... County Cork ballad give message Error load file Metal Man listen know s wrong,hmm ... county cork ballad give message error load file metal man listen know s wrong
2845,0,'We're standing here but you don't see me; I'd give it all for that to change.' Aww. Please leak the full song already! Lol. xD,stand change Aww leak song Lol xD,stand change aww leak song lol xd
2846,0,<MENTION><MENTION> I don't see either of you,MENTION><MENTION,mention><ment
2847,1,<MENTION> whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,whuahahhaha need cut Bram Ladages Applejacks pancake,whuahahhaha need cut bram ladages applejacks pancak
2848,0,"<MENTION> it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened.",sense suicide thing refuse believe actually happen,sense suicide thing refuse believe actually happen
2849,1,<MENTION> Thanks! You too!,Thanks,thank
2850,0,"<MENTION> Forgot to ask you, could you also tell me what browser you use so I can check it out please??, sorry for the troubles",Forgot ask tell browser use check sorry trouble,forgot ask tell browser use check sorry troubl
2851,0,<MENTION> hope everything is ok. Boys fuck everything up always,hope okay Boys fuck,hope okay boys fuck
2852,0,.... I'm hungry but I'm scared to eat cause I'm bloated,.... hungry scare eat cause bloat,.... hungry scare eat cause bloat
2853,0,<MENTION> haha when you and rafa chat? what does he say? he is sooo shy!! I really hope his knee is better !!,haha rafa chat sooo shy hope knee well,haha rafa chat sooo shy hope knee wel
2854,1,<MENTION> thank you - she is consistantly on honor roll,thank consistantly honor roll,thank consistantly honor rol
2855,1,..I'm actually filming this Tweet right now,.. actually film Tweet right,.. actually film tweet right
2856,1,=- is trying to make A song and watching ELLEN DEGENERES SHOW.....,try song watch ELLEN DEGENERES .....,try song watch ellen degeneres .....
2857,0,"'Sorry, an unexpected condition has occurred which is preventing Google Reader from fulfilling the request.'",Sorry unexpected condition occur prevent Google Reader fulfill request,sorry unexpected condition occur prevent google reader fulfill request
2858,1,<MENTION> You meany,meany,meani
2859,0,"<MENTION> I'm a Dees man through and through and they were disgraceful last week, I was bored watching them... Bored as hell...",Dees man disgraceful week bore watch ... Bored hell ...,dees man disgraceful week bore watch ... bored hell ...
2860,0,<MENTION> It sounds like it! I've got a search running for<HASHTAG> in tweetdeck.,sound like get search run tweetdeck,sound like get search run tweetdeck
2861,1,<MENTION> Happy bDay,Happy bDay,happy bday
2862,1,<MENTION> Ohh yeah,Ohh yes,ohh y
2863,0,"<MENTION> wait.. He is?!? Then what is scappy doo? Man, I am going to have to rethink the whole world thanks prof bobby LOL",wait .. scappy doo Man go rethink world thank prof bobby LOL,wait .. scappy doo man go rethink world thank prof bobby lol
2864,1,<MENTION> I broke My MacBook but I got it fixed for free,break MacBook get fix free,break macbook get fix fre
2865,0,<MENTION> i just want them to reply once lol,want reply lol,want reply lol
2866,1,<MENTION> I'm saving up all of those ?'s I know I'll need them,save know need,save know ne
2867,1,<MENTION> Thanks for the<HASHTAG> mention.,Thanks mention,thanks ment
2868,0,<MENTION> i keep having that problem - bloody mobile broadband. it stops working without telling you,problem bloody mobile broadband stop work tell,problem bloody mobile broadband stop work tel
2869,1,<MENTION> lmao! them kinda pics always comes out random but hot lol ..you're welcome,lmao kinda pic come random hot lol .. welcome,lmao kinda pic come random hot lol .. welcom
2870,1,<MENTION> I plan to scribble all over it with markers of at least five different colours! Fun!!,plan scribble marker different colour Fun,plan scribble marker different colour fun
2871,1,*sigh* I had the Best Day Ever with Adam.,sigh Best Day Adam,sigh best day adam
2872,1,<MENTION> so far surprisingly good responses. My dad offered to airbrush the old logo on the wall..but I think that might be overkill,far surprisingly good response dad offer airbrush old logo wall .. think overkill,far surprisingly good response dad offer airbrush old logo wall .. think overkil
2873,1,"<MENTION> Me, too! I LOVE your new avatar! What a chic mama!",LOVE new avatar chic mama,love new avatar chic mama
2874,1,"<MENTION> I see you trying to play me about the cable, it's all good though..I'll remember that! *smh* Have a good night",try play cable good .. I'll remember smh good night,try play cable good .. i'll remember smh good night
2875,0,<MENTION> I hope so. I started with hay fever 4 yrs ago. Apparently it's supposed to get worse and last longer the older we get,hope start hay fever 4 yr ago Apparently suppose wrong long old,hope start hay fever 4 yr ago apparently suppose wrong long old
2876,0,"<MENTION> Hey Amanda, is there anyway to get the song Provanity? I heard it on Jango and looooove it. I cant find it anywhere though.",Hey Amanda song Provanity hear Jango looooove not find,hey amanda song provanity hear jango looooove not find
2877,1,<MENTION> AHHH you have returned! Where have you been hiding????,AHHH return hide,ahhh return hid
2878,1,<MENTION><MENTION> it's true!,MENTION><MENTION true,mention><mention tru
2879,1,<MENTION> Except for these strange people who follow us.,strange people follow,strange people follow
2880,0,<MENTION> sorry for being random lol,sorry random lol,sorry random lol
2881,1,<MENTION> Great idea! Contacting MLA/MP never came to my mind.. Will definitely try.,Great idea Contacting MLA MP come mind .. definitely try,great idea contacting mla mp come mind .. definitely tri
2882,1,"<MENTION> yep, made it through the first (and easiest) leg of our journey. Walking around London today.",yep easy leg journey Walking London today,yep easy leg journey walking london today
2883,1,<MENTION> For Baby Phat!.. 90 days to wait to get paid was never fun.. Although the photo shoots were. Back to Web Development now,Baby Phat .. 90 day wait pay fun .. photo shoot Web Development,baby phat .. 90 day wait pay fun .. photo shoot web develop
2884,1,<MENTION> too cute,cute,cute
2885,1,<MENTION> I honestly love Colorado and mountains. I was considering Chicago..which is even colder. Idk I just love it there.,honestly love Colorado mountain consider Chicago .. cold Idk love,honestly love colorado mountain consider chicago .. cold idk lov
2886,0,":s last night in South Dakota!!!! sad to have to say bye to everyone, but excited for what is to come!!!!",s night South Dakota sad bye excite come,s night south dakota sad bye excite com
2887,1,<MENTION> 30 minutes for that reason and more and i went and got a shake and rented movies,30 minute reason go get shake rent movie,30 minute reason go get shake rent movi
2888,0,sad. TJ is down for maintinence,sad TJ maintinence,sad tj maintin
2889,0,<MENTION> I checked for the update at 6am when I woke up this morning & it's still not there apple better not screw up. I want it NOW!,check update 6 wake morning apple well screw want,check update 6 wake morning apple well screw w
2890,0,<MENTION> I just read the news and watched an interview with Mike talking about it and it almost made me teary. Sad news,read news watch interview Mike talk teary Sad news,read news watch interview mike talk teary sad new
2891,0,.been doing nothing!.,.been nothing!.,.been nothing!.
2892,0,<MENTION> Raining and cold - Even got my London coat on! hehehe,Raining cold get London coat hehehe,raining cold get london coat heheh
2893,1,"<MENTION> my absolute faith rite now comes from having found an alt to hacking my own mail id, its sat nearly 1 am and i am ranting",absolute faith rite come find alt hack mail would sit nearly 1 rant,absolute faith rite come find alt hack mail would sit nearly 1 r
2894,0,<MENTION> I'm jealous it wasn't me,jealous,jealous
2895,1,<MENTION> yeah high chance of it. We sure are lame mikifpher,yes high chance sure lame mikifpher,yes high chance sure lame mikifph
2896,1,<MENTION> that was an awesome cheeze of the day!,awesome cheeze day,awesome cheeze day
2897,1,hanging with jon. i love ashley!!!!!!!!,hang jon love ashley,hang jon love ashley
2898,1,<MENTION> Yummmers i made it two nites ago love strawberry shortcake,Yummmers nites ago love strawberry shortcake,yummmers nites ago love strawberry shortcak
2899,1,"<MENTION> Oh that sounds nice!, we are going to drive down to Miami! Fun = FOOD,CLUBS, AND BEACHES ! haha WELLLL needed, mini vacation",Oh sound nice go drive Miami Fun FOOD CLUBS BEACHES haha WELLLL need mini vacation,oh sound nice go drive miami fun food clubs beaches haha wellll need mini vac
2900,0,<MENTION>: We miss you...,miss ...,miss ...
2901,0,<MENTION> workin till 9pm,workin till 9 p.m.,workin till 9 p.m.
2902,0,<MENTION> Still not good eh?!,good eh,good eh
2903,0,<MENTION> OK! It was a canon AE-1. I had to go back and look. I'm back to digital and I really loved film. I miss it,OK canon AE-1 look digital love film miss,ok canon ae-1 look digital love film miss
2904,0,"<MENTION> Actually it does, we can only record 2 channels at the same time. Sorry",Actually record 2 channel time Sorry,actually record 2 channel time sorri
2905,1,<MENTION> chillin n nt sleepin,chillin n not sleepin,chillin n not sleepin
